ワーッ,3,3,3019,感動詞,*,*,*,*,*,ワーッ,ワーッ,ワーッ
ふふふ,3,3,5114,感動詞,*,*,*,*,*,ふふふ,フフフ,フフフ
ふーん,3,3,5114,感動詞,*,*,*,*,*,ふーん,フーン,フーン
モシモシ,3,3,3019,感動詞,*,*,*,*,*,モシモシ,モシモシ,モシモシ
あっかんべー,3,3,5114,感動詞,*,*,*,*,*,あっかんべー,アッカンベー,アッカンベー
すみません,3,3,4498,感動詞,*,*,*,*,*,すみません,スミマセン,スミマセン
へっ,3,3,5095,感動詞,*,*,*,*,*,へっ,ヘッ,ヘッ
おす,3,3,5471,感動詞,*,*,*,*,*,おす,オス,オス
こりゃー,3,3,5114,感動詞,*,*,*,*,*,こりゃー,コリャー,コリャー
ただいま,3,3,5792,感動詞,*,*,*,*,*,ただいま,タダイマ,タダイマ
ありゃりゃ,3,3,5114,感動詞,*,*,*,*,*,ありゃりゃ,アリャリャ,アリャリャ
いただきます,3,3,5591,感動詞,*,*,*,*,*,いただきます,イタダキマス,イタダキマス
きゃー,3,3,5092,感動詞,*,*,*,*,*,きゃー,キャー,キャー
ううん,3,3,5154,感動詞,*,*,*,*,*,ううん,ウウン,ウーン
はっ,3,3,5554,感動詞,*,*,*,*,*,はっ,ハッ,ハッ
あきまへん,3,3,5114,感動詞,*,*,*,*,*,あきまへん,アキマヘン,アキマヘン
どーも,3,3,5114,感動詞,*,*,*,*,*,どーも,ドーモ,ドーモ
どうぞ,3,3,5336,感動詞,*,*,*,*,*,どうぞ,ドウゾ,ドーゾ
いやあ,3,3,5114,感動詞,*,*,*,*,*,いやあ,イヤア,イヤー
へーっ,3,3,5114,感動詞,*,*,*,*,*,へーっ,ヘーッ,ヘーッ
ヤッター,3,3,3019,感動詞,*,*,*,*,*,ヤッター,ヤッター,ヤッター
まあ,3,3,3920,感動詞,*,*,*,*,*,まあ,マア,マー
やれやれ,3,3,5111,感動詞,*,*,*,*,*,やれやれ,ヤレヤレ,ヤレヤレ
すまん,3,3,5114,感動詞,*,*,*,*,*,すまん,スマン,スマン
お,3,3,7566,感動詞,*,*,*,*,*,お,オ,オ
お疲れさま,3,3,5113,感動詞,*,*,*,*,*,お疲れさま,オツカレサマ,オツカレサマ
なあんだ,3,3,5114,感動詞,*,*,*,*,*,なあんだ,ナアンダ,ナーンダ
じゃ,3,3,5506,感動詞,*,*,*,*,*,じゃ,ジャ,ジャ
ぎょ,3,3,4996,感動詞,*,*,*,*,*,ぎょ,ギョ,ギョ
サヨナラ,3,3,3054,感動詞,*,*,*,*,*,サヨナラ,サヨナラ,サヨナラ
おそまつ様,3,3,5114,感動詞,*,*,*,*,*,おそまつ様,オソマツサマ,オソマツサマ
ウン,3,3,2318,感動詞,*,*,*,*,*,ウン,ウン,ウン
ふむふむ,3,3,5111,感動詞,*,*,*,*,*,ふむふむ,フムフム,フムフム
あぁ,3,3,5114,感動詞,*,*,*,*,*,あぁ,アァ,アー
へぇ,3,3,5114,感動詞,*,*,*,*,*,へぇ,ヘェ,ヘー
有難う,3,3,3927,感動詞,*,*,*,*,*,有難う,アリガトウ,アリガトー
なるほど,3,3,4100,感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド
へえ,3,3,5114,感動詞,*,*,*,*,*,へえ,ヘエ,ヘー
あれれ,3,3,5174,感動詞,*,*,*,*,*,あれれ,アレレ,アレレ
はてな,3,3,5113,感動詞,*,*,*,*,*,はてな,ハテナ,ハテナ
ええい,3,3,5114,感動詞,*,*,*,*,*,ええい,エエイ,エーイ
うふ,3,3,5114,感動詞,*,*,*,*,*,うふ,ウフ,ウフ
ごっつぁん,3,3,5114,感動詞,*,*,*,*,*,ごっつぁん,ゴッツァン,ゴッツァン
どれどれ,3,3,5114,感動詞,*,*,*,*,*,どれどれ,ドレドレ,ドレドレ
な,3,3,7979,感動詞,*,*,*,*,*,な,ナ,ナ
ぎゃあ,3,3,5114,感動詞,*,*,*,*,*,ぎゃあ,ギャア,ギャー
こらぁ,3,3,5114,感動詞,*,*,*,*,*,こらぁ,コラァ,コラー
なあに,3,3,5114,感動詞,*,*,*,*,*,なあに,ナアニ,ナーニ
さぁ,3,3,5114,感動詞,*,*,*,*,*,さぁ,サァ,サー
アップップ〜,3,3,3019,感動詞,*,*,*,*,*,アップップ〜,アップップー,アップップー
メリークリスマス,3,3,2642,感動詞,*,*,*,*,*,メリークリスマス,メリークリスマス,メリークリスマス
なんと,3,3,4392,感動詞,*,*,*,*,*,なんと,ナント,ナント
えーッ,3,3,5114,感動詞,*,*,*,*,*,えーッ,エーッ,エーッ
ぎゃふん,3,3,5114,感動詞,*,*,*,*,*,ぎゃふん,ギャフン,ギャフン
まぁ,3,3,5114,感動詞,*,*,*,*,*,まぁ,マァ,マー
おやすみ,3,3,5103,感動詞,*,*,*,*,*,おやすみ,オヤスミ,オヤスミ
おや,3,3,5133,感動詞,*,*,*,*,*,おや,オヤ,オヤ
おお,3,3,4949,感動詞,*,*,*,*,*,おお,オオ,オー
何だ,3,3,3789,感動詞,*,*,*,*,*,何だ,ナンダ,ナンダ
ハッハッハ,3,3,3014,感動詞,*,*,*,*,*,ハッハッハ,ハッハッハ,ハッハッハ
わぁ,3,3,5114,感動詞,*,*,*,*,*,わぁ,ワァ,ワー
ご馳走さま,3,3,5114,感動詞,*,*,*,*,*,ご馳走さま,ゴチソウサマ,ゴチソーサマ
えーっ,3,3,5114,感動詞,*,*,*,*,*,えーっ,エーッ,エーッ
すんません,3,3,5114,感動詞,*,*,*,*,*,すんません,スンマセン,スンマセン
ありゃ,3,3,5201,感動詞,*,*,*,*,*,ありゃ,アリャ,アリャ
よーし,3,3,5114,感動詞,*,*,*,*,*,よーし,ヨーシ,ヨーシ
ご苦労さん,3,3,5655,感動詞,*,*,*,*,*,ご苦労さん,ゴクロウサン,ゴクローサン
わーい,3,3,5114,感動詞,*,*,*,*,*,わーい,ワーイ,ワーイ
トホホ,3,3,2984,感動詞,*,*,*,*,*,トホホ,トホホ,トホホ
よしっ,3,3,5114,感動詞,*,*,*,*,*,よしっ,ヨシッ,ヨシッ
どっこい,3,3,5116,感動詞,*,*,*,*,*,どっこい,ドッコイ,ドッコイ
こんばんわ,3,3,5114,感動詞,*,*,*,*,*,こんばんわ,コンバンワ,コンバンワ
うふっ,3,3,5114,感動詞,*,*,*,*,*,うふっ,ウフッ,ウフッ
